"_id",uniqueStudentIdCount,uniqueClientIdsCount
"",30029,9
oR17p5acarokwRO7asmxz_6IT26w,92,2
oR17p5XKXPt9O0bddMLpDCiHIyT0,61,3
oR17p5byX6fQX6gmt6GBTMvmJ5J8,56,3
oR17p5QdTEvESNVF5MS61zACgaVE,47,4
oR17p5W7a2IF9My8vNuqeJfwJnnI,37,3
oR17p5XGl5wIPWPKWSGgzVqg4yS4,36,4
oR17p5bAA_Mvw3aW5HOOtbt7IBi8,32,2
oR17p5fGbO8TM3_0xPtTyetU-7n0,30,3
oR17p5fxknRq90D1aNZrnOTrBPJo,30,3
oR17p5TsNnfHF0wDpTDh1N31UZZE,27,3
oR17p5QxkfnVy4ASHqYgA1RKy9vo,26,1
oR17p5dJGj83cooZbCcjxahHj2us,26,1
oR17p5TRK-QnC0ZMQ49FQWH5W-5w,24,1
oR17p5WWdBnnoO4RJ6b3HR-ciqQs,23,1
oR17p5SvWvPz64YC6bJ0g82JtyIU,23,3
oR17p5RZ-DR6OIEFm_oY8Px_v9g4,23,1
oR17p5a46VSJ2YbyVzBJFBG6hfQE,23,1
oR17p5bKoKC7FZIHYCvwgqJmsXj4,22,1
oR17p5W6ibHXQAnwP5AjrLdsl4wA,22,4
oR17p5d-zdnyyzM7iWEC5qaskJDA,22,1
oR17p5QDTnL1cb-w0idtkeMbL9Jw,22,2
oR17p5ZnLhM4OyFQWZCgbxYR8S7M,22,1
oR17p5SGMw9CUqmH5c8bevyqw4Hk,22,3
oR17p5SGXc8WkccuPlZfs3IvRjWE,21,6
oR17p5aUtiDGdpHJqVYEa0KqknHY,21,2
oR17p5dTXNz9CMA-XrCm_VZPlngE,21,3
oR17p5UjqQB7z5dlYn2ZqO3WbvCo,21,1
oR17p5aw1ENwTpTB3F8EueTYg76U,21,2
oR17p5XUT5zoTyrW0GqHfvkMQ8B4,21,1
oR17p5VBSFk313ctkyuOEBFk1ELk,20,2
oR17p5frp8MuXDTeEmnhj0Ivlvb8,20,2
oR17p5Z_dYRGKyTEmi3FOa1NYaso,20,5
oR17p5WAOpGZNacjbAUvCknRHZRI,20,1
oR17p5bJbvbvgZ-Bhm9HQvdM1oyw,19,1
oR17p5d1KKlk5ORBAjTpbxxcFhac,19,2
oR17p5a-a8hE4pBUHqLC8s64VjSU,19,3
oR17p5YGvVDevgxkqkKShmA0syys,19,6
oR17p5R5tYQ82i2Olu2TidyKtifU,19,3
oR17p5aCR2TQPFyM-6XdWcLgRNUI,19,4
oR17p5XxtclNALfD2c4-NcajN_yc,19,4
oR17p5eXSBu3VsW4tFWd_xuo8De0,19,3
oR17p5fzVRZ9x6P6hjCCe32eYink,19,2
oR17p5XtUqZTah1cTWl4Tqw3Y6zQ,19,1
oR17p5Qq-GC4nL-Q12DxN39aDzQw,19,3
oR17p5eQlq-bd6_EBf3OquUY78G0,18,5
oR17p5fYg9OH-Ku5eHG56HX28lV4,18,1
oR17p5ddFh5ghPpo5esAEq5ZFpEk,18,1
oR17p5SW2L4JMj53l535k42vZSRQ,18,1
oR17p5drmJJmx6XBr6SE9t_w5z2A,18,2
oR17p5UhG_kQF_3kCR7FiR8OIlDo,18,3
oR17p5S3TQKHQe0t8EZOU18qhxSw,18,2
oR17p5YulzIoQCvmmujxrsPl0jCA,18,4
oR17p5VenRvMnLgGRjvTRb1K1nbg,18,1
oR17p5UPUIPyRPZZleG_W101ktmE,18,2
oR17p5UAJn6q_uSyr6Z_-snjTmaA,18,2
oR17p5WcwAjwAl18t4FV3uAfhbO8,17,1
oR17p5Qn3juLPEMYgOezK3ULrlfk,17,1
oR17p5ecMicicSYIDY08buyCwa3k,17,3
oR17p5aLq8wQAgR4v5Gafa4NPDQM,17,3
oR17p5cIjhA_dusqP7bXDOmgML0U,17,4
oR17p5aCEMwg-rK0D1wpn3tFXbBA,17,2
oR17p5Tg3YQbzvJcnbfLoJtW2sDk,17,6
oR17p5eh-08loi7ehKkVesSodt_0,17,1
oR17p5b_FCCc-buPt3iP-Hq9G4cc,17,1
oR17p5anS6XEGhRR3DYJ00sAcjzM,17,1
